Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SLC30A10	DKFZp547M236, ZnT-10, ZNT8, ZRC1	ENSG00000196660	Solute carrier family 30 member 10	1	219685427-219958647	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA064547	Enhanced					Tissue enriched	Tissue enhanced		duodenum: 2.1;liver: 2.3	testis: 1.2	Cell line enhanced		HEK93: 1.2
SLC30A2	ZNT2	ENSG00000158014	Solute carrier family 30 member 2	1	26037252-26046133	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA017979			Approved	Vesicles	Renal cancer:2.86e-6 (favourable)	Tissue enhanced	Tissue enhanced		kidney: 22.0;thyroid gland: 42.4	pancreas: 16.5	Group enriched	5	BEWO: 2.4;RPTEC TERT1: 4.3;WM-115: 3.5
SLC33A1	ACATN, AT-1, AT1, SPG42	ENSG00000169359	Solute carrier family 33 member 1	3	155821024-155854429	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042430, HPA060345	Uncertain		Approved	Nucleus		Expressed in all	Expressed in all			thyroid gland: 67.3	Expressed in all		
SLC34A1	NAPI-3, NPT2, NPTIIa, SLC11, SLC17A2	ENSG00000131183	Solute carrier family 34 member 1	5	177379235-177398848	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA051255	Approved		Supported	Nuclear speckles<br>Plasma membrane<br>Mitotic spindle		Tissue enriched	Tissue enriched	164	kidney: 161.7	liver: 0.9	Group enriched	12	HEL: 2.1;U-937: 1.2
SLC34A2	NAPI-3B	ENSG00000157765	Solute carrier family 34 member 2	4	25655301-25678748	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA037989	Enhanced					Tissue enhanced	Tissue enriched	10	lung: 1121.1	fallopian tube: 111.8	Group enriched	76	BEWO: 31.0;EFO-21: 114.1;RPTEC TERT1: 66.5
SLC34A3	FLJ38680, NPTIIc	ENSG00000198569	Solute carrier family 34 member 3	9	137230757-137236554	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA023776	Enhanced					Mixed	Group enriched	15	kidney: 11.8;small intestine: 9.1	testis: 0.7	Cell line enhanced		CAPAN-2: 2.9;MCF7: 4.2
SLC35A1	CMPST, hCST	ENSG00000164414	Solute carrier family 35 member A1	6	87470623-87512336	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Renal cancer:2.70e-6 (unfavourable)	Expressed in all	Expressed in all			prostate: 59.5	Expressed in all		
SLC35A2	UGALT, UGAT, UGT, UGT1, UGT2, UGTL	ENSG00000102100	Solute carrier family 35 member A2	X	48903180-48911958	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036087	Approved		Supported	Golgi apparatus	Liver cancer:9.64e-5 (unfavourable), Breast cancer:3.16e-4 (unfavourable), Stomach cancer:8.23e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 45.0	Expressed in all		
SLC35A3		ENSG00000117620	Solute carrier family 35 member A3	1	99969351-100035637	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA015253	Uncertain					Expressed in all	Expressed in all			rectum: 58.7	Expressed in all		
SLC35C1	FLJ11320, FUCT1	ENSG00000181830	Solute carrier family 35 member C1	11	45804072-45813015	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA064001	Enhanced		Supported	Golgi apparatus	Thyroid cancer:3.64e-4 (favourable)	Expressed in all	Expressed in all			esophagus: 29.4	Expressed in all		
SLC35D1	KIAA0260, UGTREL7	ENSG00000116704	Solute carrier family 35 member D1	1	66999332-67054099	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level						Lung cancer:6.55e-4 (unfavourable), Endometrial cancer:7.47e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 38.5	Expressed in all		
SLC36A2	PAT2, TRAMD1, tramdorin	ENSG00000186335	Solute carrier family 36 member 2	5	151314978-151347590	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA044002, HPA062229	Enhanced					Tissue enriched	Group enriched	27	kidney: 67.7;skeletal muscle: 28.0	testis: 1.7	Not detected		
SLC38A8		ENSG00000166558	Solute carrier family 38 member 8	16	84009667-84042636	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enriched	Not detected			testis: 0.9	Cell line enriched	5	SCLC-21H: 4.0
SLC39A13	FLJ25785	ENSG00000165915	Solute carrier family 39 member 13	11	47407132-47416501	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA043971	Approved		Uncertain	Cytosol	Ovarian cancer:2.73e-5 (unfavourable), Renal cancer:1.96e-4 (favourable), Colorectal cancer:2.60e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 58.3	Expressed in all		
SLC39A5		ENSG00000139540	Solute carrier family 39 member 5	12	56230049-56237846	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA018423			Approved	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:5.05e-4 (favourable)	Tissue enhanced	Group enriched	12	colon: 73.2;duodenum: 240.2;kidney: 115.0;liver: 86.0;pancreas: 53.1;rectum: 48.9;small intestine: 240.4	gallbladder: 10.0	Group enriched	62	CACO-2: 33.1;Hep G2: 39.7
SLC39A8	BIGM103	ENSG00000138821	Solute carrier family 39 member 8	4	102251041-102431258	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA038832, HPA038833	Approved				Renal cancer:6.34e-6 (favourable), Colorectal cancer:1.34e-4 (favourable), Breast cancer:6.69e-4 (favourable)	Expressed in all	Tissue enhanced		lung: 257.0	cervix, uterine: 129.4	Cell line enhanced		BJ hTERT+: 128.9;Karpas-707: 123.0
SLC3A1	ATR1, CSNU1, D2H, NBAT, RBAT	ENSG00000138079	Solute carrier family 3 member 1	2	44275458-44321494	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA038360, HPA071102	Enhanced		Approved	Nuclear bodies<br>Mitochondria	Renal cancer:3.67e-7 (favourable)	Tissue enriched	Tissue enhanced		kidney: 688.2	small intestine: 148.9	Cell line enriched	14	RPTEC TERT1: 80.7
SLC40A1	FPN1, HFE4, IREG1, MTP1, SLC11A3	ENSG00000138449	Solute carrier family 40 member 1	2	189560579-189583758	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA065634	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:8.55e-5 (favourable)	Expressed in all	Expressed in all			spleen: 489.1	Group enriched	6	ASC diff: 336.9;CACO-2: 97.8;HEL: 380.0;HMC-1: 94.0;T-47d: 188.1
SLC44A4	C6orf29, CTL4, FLJ14491, NG22, TPPT	ENSG00000204385	Solute carrier family 44 member 4	6	31863192-31879046	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046977, HPA054176	Enhanced				Renal cancer:1.06e-6 (favourable), Head and neck cancer:3.54e-4 (favourable), Urothelial cancer:6.06e-4 (favourable)	Tissue enhanced	Tissue enhanced		duodenum: 35.1	colon: 28.7	Cell line enhanced		Hep G2: 1.0
SLC45A2	AIM-1, MATP, OCA4	ENSG00000164175	Solute carrier family 45 member 2	5	33944616-33984730	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enriched	Tissue enhanced		skin: 1.2;testis: 1.2	prostate,rectum: 0.3	Cell line enriched	43	SK-MEL-30: 48.5
SLC46A1	HCP1, MGC9564, PCFT	ENSG00000076351	Solute carrier family 46 member 1	17	28394756-28407197	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB011614	Approved		Supported	Plasma membrane<br>Cytosol	Glioma:3.90e-4 (unfavourable)	Expressed in all	Expressed in all			duodenum: 95.1	Cell line enhanced		CACO-2: 169.5
SLC4A1	AE1, CD233, DI, EPB3, FR, RTA1A, SW, WD, WR	ENSG00000004939	Solute carrier family 4 member 1 (Diego blood group)	17	44248385-44268141	Blood group antigen proteins, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA015584, CAB034438, HPA063911	Enhanced					Tissue enriched	Tissue enriched	8	bone marrow: 238.0	kidney: 30.0	Mixed		
SLC4A11	BTR1, CDPD1, CHED2, dJ794I6.2, FECD4, NaBC1	ENSG00000088836	Solute carrier family 4 member 11	20	3227417-3239190	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA018120, HPA058377	Uncertain		Uncertain	Nucleoplasm<br>Vesicles	Renal cancer:6.21e-6 (favourable), Cervical cancer:9.03e-4 (favourable)	Expressed in all	Tissue enhanced		thyroid gland: 27.7	salivary gland: 19.2	Cell line enhanced		HaCaT: 55.7
SLC4A4	hhNMC, HNBC1, NBC1, NBC2, pNBC, SLC4A5	ENSG00000080493	Solute carrier family 4 member 4	4	71186757-71572087	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022493, HPA035628, HPA035629	Enhanced				Renal cancer:1.18e-4 (favourable), Colorectal cancer:7.69e-4 (favourable)	Group enriched	Tissue enhanced		kidney: 125.8	cerebral cortex: 59.3	Cell line enhanced		BJ: 12.5;RPTEC TERT1: 11.7;U-138 MG: 8.0
SLC52A3	bA371L19.1, C20orf54, hRFT2, RFVT3	ENSG00000101276	Solute carrier family 52 member 3	20	760080-776015	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA049391, HPA059078	Approved				Stomach cancer:5.51e-6 (favourable)	Expressed in all	Tissue enhanced		testis: 62.3	small intestine: 18.1	Cell line enhanced		CAPAN-2: 33.7;SK-BR-3: 10.4;T-47d: 16.0
SLC5A1	D22S675, NAGT, SGLT1	ENSG00000100170	Solute carrier family 5 member 1	22	32043032-32113029	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB015467, HPA051805, HPA055106	Enhanced		Approved	Nucleoplasm<br>Vesicles	Renal cancer:6.97e-7 (favourable), Endometrial cancer:2.59e-4 (favourable)	Mixed	Group enriched	10	duodenum: 505.0;small intestine: 313.4	gallbladder: 40.2	Cell line enhanced		CACO-2: 2.1;RPMI-8226: 1.3;SH-SY5Y: 1.0
SLC5A5	NIS	ENSG00000105641	Solute carrier family 5 member 5	19	17871973-17895174	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022364, HPA049055	Enhanced					Mixed	Tissue enhanced		salivary gland: 28.3;stomach: 56.1;thyroid gland: 20.7	cervix, uterine: 8.3	Cell line enriched	5	BEWO: 10.8
SLC5A7	CHT1, hCHT	ENSG00000115665	Solute carrier family 5 member 7	2	107986523-108013994	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA046105			Approved	Nuclear bodies<br>Cell Junctions<br>Intermediate filaments		Tissue enhanced	Mixed			thyroid gland: 2.0	Group enriched	21	RT4: 2.9;SCLC-21H: 1.2
SLC6A14		ENSG00000268104	Solute carrier family 6 member 14	X	116436622-116461458	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at transcript level	HPA003193	Uncertain		Approved	Vesicles	Pancreatic cancer:9.74e-4 (unfavourable)	Mixed	Tissue enhanced		cervix, uterine: 11.0;lung: 23.9	breast: 9.1	Cell line enhanced		HeLa: 1.0;Hep G2: 2.3
SLC6A17		ENSG00000197106	Solute carrier family 6 member 17	1	110150486-110202202	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA007663, HPA008044	Enhanced		Approved	Nucleus<br>Golgi apparatus		Tissue enriched	Tissue enriched	10	cerebral cortex: 75.4	adrenal gland: 7.9	Cell line enhanced		SiHa: 6.6;SK-MEL-30: 28.5;U-87 MG: 7.0
SLC6A18	FLJ31236, Xtrp2	ENSG00000164363	Solute carrier family 6 member 18	5	1225355-1246189	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA011885	Enhanced					Tissue enriched	Tissue enriched	83	kidney: 8.2	all non-specific tissues: 0.0	Not detected		
SLC6A19		ENSG00000174358	Solute carrier family 6 member 19	5	1201595-1225117	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA037415, HPA043207	Enhanced		Approved	Nucleoli	Renal cancer:4.14e-6 (favourable)	Tissue enhanced	Group enriched	21	duodenum: 139.5;kidney: 91.8;small intestine: 156.9	rectum: 6.2	Group enriched	6	BEWO: 13.7;HEL: 16.3
SLC6A20	XT3, Xtrp3	ENSG00000163817	Solute carrier family 6 member 20	3	45755450-45796535	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA029873	Uncertain				Renal cancer:1.55e-5 (favourable)	Mixed	Tissue enhanced		duodenum: 24.4;small intestine: 19.3	gallbladder: 10.9	Cell line enhanced		HaCaT: 1.5
SLC6A5	GLYT2, NET1	ENSG00000165970	Solute carrier family 6 member 5	11	20599400-20659285	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Not detected	Tissue enhanced		lung: 1.4	testis: 0.6	Not detected		
SLC6A9	GLYT1	ENSG00000196517	Solute carrier family 6 member 9	1	43991500-44031467	Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA013977	Uncertain		Approved	Nucleus<br>Golgi apparatus	Renal cancer:5.93e-4 (unfavourable), Endometrial cancer:9.50e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 49.7	adrenal gland: 30.8	Cell line enhanced		hTCEpi: 77.6
SLC7A14	KIAA1613, PPP1R142	ENSG00000013293	Solute carrier family 7 member 14	3	170459584-170586074	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA045929	Approved					Group enriched	Tissue enriched	8	cerebral cortex: 26.7	adrenal gland: 3.1	Cell line enhanced		LHCN-M2: 2.7;SCLC-21H: 3.7
SLC7A7	LPI, y+LAT-1	ENSG00000155465	Solute carrier family 7 member 7	14	22773222-22829820	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036227	Enhanced				Renal cancer:6.28e-6 (unfavourable)	Expressed in all	Tissue enhanced		kidney: 281.9	parathyroid gland: 162.5	Group enriched	5	BEWO: 191.5;CACO-2: 274.5;EFO-21: 65.6
SLC7A9	CSNU3	ENSG00000021488	Solute carrier family 7 member 9	19	32830509-32869766	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA042591	Enhanced					Group enriched	Group enriched	10	duodenum: 79.0;kidney: 70.1;small intestine: 123.5	liver: 8.9	Group enriched	20	BEWO: 3.3;CACO-2: 6.7;Hep G2: 5.4
SLC9A1	APNH, NHE1, PPP1R143	ENSG00000090020	Solute carrier family 9 member A1	1	27098815-27166981	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022371, HPA048532, HPA052891	Enhanced		Supported	Plasma membrane	Glioma:6.32e-4 (unfavourable), Ovarian cancer:7.10e-4 (unfavourable)	Expressed in all	Expressed in all			stomach: 65.5	Expressed in all		
SLC9A3	NHE3	ENSG00000066230	Solute carrier family 9 member A3	5	473310-524332	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA036493, HPA036669	Enhanced		Supported	Plasma membrane	Melanoma:8.49e-4 (unfavourable)	Mixed	Tissue enhanced		colon: 80.9;gallbladder: 66.1;small intestine: 72.6	kidney: 57.3	Cell line enhanced		HDLM-2: 30.4
SLC9A3R1	EBP50, NHERF	ENSG00000109062	SLC9A3 regulator 1	17	74748652-74769353	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	CAB001962, HPA009672, HPA027247	Enhanced		Approved	Vesicles<br>Plasma membrane<br>Microtubule organizing center	Liver cancer:9.83e-5 (unfavourable)	Expressed in all	Expressed in all			small intestine: 302.4	Expressed in all		
SLC9A6	KIAA0267, NHE6	ENSG00000198689	Solute carrier family 9 member A6	X	135973841-136047269	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA059445, HPA059590	Enhanced		Supported	Vesicles		Expressed in all	Tissue enhanced		cerebral cortex: 67.9	parathyroid gland: 16.6	Mixed		
